,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
75472,75549,zzw-227@63s-whd-99f,sg:ccc0e005b14243879ce0e526e76f85ea,,,South Side Pediatrics,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,39.626742,-77.701042,1185 Mount Aetna Rd Ste 102,Hagerstown,MD,21740,US,,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [[""8:00"", ""19:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""9:00"", ""13:00""]], ""Sun"": [] }",,,,,2019-07
78574,78654,zzw-223@63s-ws3-qmk,sg:85b571e4adf9479b9092759d0907de5f,,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,39.629615,-77.782864,16921 Halfway Blvd,Halfway,MD,21740,US,13015825070.0,,"Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-09,2019-07
81219,81304,223-222@63s-whf-djv,sg:313196405dc44e0493ee6bf9339a8416,,,Wendy's,SG_BRAND_962f9b1d1de0bf5b87f4782eafcfd5e5,Wendy's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,39.633216,-77.701876,950 Dual Hwy,Hagerstown,MD,21740,US,12406483002.0,"{ ""Mon"": [[""10:30"", ""22:00""]], ""Tue"": [[""10:30"", ""22:00""]], ""Wed"": [[""10:30"", ""22:00""]], ""Thu"": [[""10:30"", ""22:00""]], ""Fri"": [[""10:30"", ""23:00""]], ""Sat"": [[""10:30"", ""23:00""]], ""Sun"": [[""10:30"", ""22:00""]] }","Counter Service,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,,2019-07
82033,82120,zzw-222@63s-wh5-nh5,sg:637881bb44014653aa56122041559ed2,,,21st Century Laundromat And Cleaners,,,Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320.0,39.654565000000005,-77.717697,824 Pennsylvania Ave,Hagerstown,MD,21742,US,13013938188.0,,,,,,2019-07
87177,87272,225-222@63s-whq-kzz,sg:a5e91eab1d714249889fb254b3405cfa,,,Temple Art Tattoo Studio,,,Personal Care Services,Other Personal Care Services,812199.0,39.643494,-77.718758,110 N Potomac St,Hagerstown,MD,21740,US,13017669177.0,"{ ""Mon"": [[""12:00"", ""20:00""]], ""Tue"": [[""12:00"", ""20:00""]], ""Wed"": [[""12:00"", ""20:00""]], ""Thu"": [[""12:00"", ""20:00""]], ""Fri"": [[""12:00"", ""20:00""]], ""Sat"": [[""12:00"", ""20:00""]], ""Sun"": [] }",,,,,2019-07
88399,88500,222-222@63s-ws8-f4v,sg:f474df505863400eb33284e0583f1366,,,Stone Wall Tavern,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410.0,39.62696,-77.77335,17276 Valley Mall Rd,Halfway,MD,21740,US,12406549255.0,,"Bar or Pub,Cocktail Lounge,Late Night,American Food",,2020-01,,2019-07
88470,88571,22m-222@63s-whq-kxq,sg:f9c67c44bd7641d6bdfea49d5a788589,,,Staffmark,SG_BRAND_01dcf1d0738a8f9b92237df7f8a4bb0a,Staffmark,Employment Services,Employment Placement Agencies,561311.0,39.642417,-77.720469,6 W Washington St,Hagerstown,MD,21740,US,12403139100.0,,,,,,
89187,89288,zzw-222@63s-ws8-dgk,sg:255f31645e324d61831ad2ff09501b5f,226-222@63s-ws8-bzf,sg:d1ab6df576ef46c0bf30bc9d70167c21,Kohl's,SG_BRAND_64a77880c7f7c1d3133d10e574c97a8b,Kohl's,Department Stores,Department Stores,452210.0,39.621251,-77.77627199999999,17145 Cole Rd,Halfway,MD,21740,US,13015824120.0,"{ ""Mon"": [[""9:00"", ""22:00""]], ""Tue"": [[""9:00"", ""22:00""]], ""Wed"": [[""9:00"", ""22:00""]], ""Thu"": [[""9:00"", ""22:00""]], ""Fri"": [[""9:00"", ""23:00""]], ""Sat"": [[""8:00"", ""23:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",,,,,2019-07
90994,91097,223-222@63s-w34-6p9,sg:95b5188fb27640a3a02ea6f7ca84b5df,,,Rotor Piston Motorsportz,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,39.573286,-77.723287,9449 Earley Dr,St. James,MD,21740,US,12402933384.0,,,,,,2019-07
94823,94934,223-222@63s-wh2-n3q,sg:85e6150b48b24acaaedd160ea90b9c9a,,,Bacchus Liquors,,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310.0,39.658862,-77.689458,906 Antietam Dr,Hagerstown,MD,21742,US,13017667225.0,,,,,,2019-07
96767,96879,222-222@63s-whd-975,sg:ffeff5eb700641328cfce361c92b7d81,,,Center for Vein Restoration,,,Building Finishing Contractors,Flooring Contractors,238330.0,39.625404,-77.698931,1401 Dual Hwy,Hagerstown,MD,21740,US,,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
108713,108837,224-222@63s-wh9-vfz,sg:f90195e86e384160983c9183f8616c39,,,Accu Auto Care,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,39.690536,-77.745389,13706 Maugansville Rd,Maugansville,MD,21740,US,12404521512.0,"{ ""Mon"": [[""7:00"", ""17:30""]], ""Tue"": [[""7:00"", ""17:30""]], ""Wed"": [[""7:00"", ""17:30""]], ""Thu"": [[""7:00"", ""17:30""]], ""Fri"": [[""7:00"", ""17:30""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
109858,109983,224-223@63s-wsc-mkz,sg:3c8c0e016b114e8bb149325e581abdda,,,CAM Center of Hagerstown,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,39.637347,-77.726199,89 W Lee St,Hagerstown,MD,21740,US,,,,,,,2019-07
111107,111233,223-222@63s-whd-c89,sg:87d7926fc2ad48549909cd8dc7d2a7a8,,,Western Union,SG_BRAND_9ee39f394d21a7f4848ab78a78da00c3,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390.0,39.613682,-77.693157,1729 Dual Hwy,Hagerstown,MD,21740,US,,,,,,2021-02,2021-02
114926,115056,223-222@63s-ws3-dgk,sg:79b8654d024e4e238bf861571956a368,,,Sitar of India,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.630096,-77.765342,110 Railway Ln,Halfway,MD,21740,US,13017338223.0,,"Indian Food,Seafood,Halal Food",,,,2019-07
115776,115910,224-225@63s-whh-d9z,sg:af573c1b0278413b858a87874cd86736,,,Shirley Bayer,,,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,531210.0,39.612192,-77.722818,222 E Oak Ridge Dr,Hagerstown,MD,21740,US,13015730827.0,,,,,,2019-07
115786,115920,zzw-223@63s-wsd-d7q,sg:b03a7b85579f47e3933c7529023f419a,,,Arthur T,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,39.6504,-77.788087,16817 National Pike,Hagerstown,MD,21740,US,,,BBQ and Southern Food,,,,2019-07
117293,117428,zzw-226@63s-whg-4jv,sg:0fc57769b7df47d18e960b268c381132,,,Youngbar Agency,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,39.6126,-77.68952900000001,1826 Dual Hwy Ste A,Hagerstown,MD,21740,US,,,,,,,2019-07
118415,118555,227-222@63s-ws5-45f,sg:56d23e02724644cdade5a8369667c315,22d-22j@63s-ws5-45f,sg:8d25d3093e2647e4b11e3ce3a8b85844,Kay Jewelers,SG_BRAND_f0092e116c279998dd8888daa03c0e9f,Kay Jewelers,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310.0,39.624985,-77.769757,17301 Valley Mall Rd Ste 264,Halfway,MD,21740,US,13015820200.0,,,,,2020-01,2019-07
121005,121148,zzw-222@63s-whq-52k,sg:f709b3d0556c412fb942e89c7bf7faca,223-222@63s-whr-28v,sg:3adc2a0c42304edc99b0b6c8a8bd5c76,Hagerstown Greens At Hamilton Run,,,Other Schools and Instruction,Sports and Recreation Instruction,611620.0,39.638519,-77.709409,2 S Cleveland Ave,Hagerstown,MD,21740,US,,,,,,,2019-07
123416,123563,zzw-222@63s-w38-sdv,sg:8b7b181805874c82b230c514a3d8ed61,,,Walmart Pharmacy 10 2790,,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110.0,39.59963,-77.733228,10420 Walmart Dr,Hagerstown,MD,21740,US,13017397597.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""19:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",,,,,2019-07
123982,124130,zzw-222@63s-wgz-rc5,sg:aeed038fa81c4c5195c54fae9b34dd66,,,First Christian Church,,,Religious Organizations,Religious Organizations,813110.0,39.65921,-77.703525,1345 Potomac Ave,Hagerstown,MD,21742,US,13017973114.0,,,,,,2019-07
127521,127671,226-222@63s-whm-rhq,sg:91856558347b4f8a8c309ec23b34a4cd,,,Hagerstown Dermatology and Skincare,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111.0,39.635775,-77.694137,1136 Opal Ct,Hagerstown,MD,21740,US,12404694835.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
131007,131159,222-222@63s-w2f-w6k,sg:71903b35b2f6436291eee8d21032f10e,,,Cornerstone Community Church,,,Religious Organizations,Religious Organizations,813110.0,39.577696,-77.654448,20519 Beaver Creek Rd,Beaver Creek,MD,21740,US,,,,,,,2019-07
