,Unnamed: 0,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
154179,154359,zzw-223@5r8-g2x-3wk,sg:26796be7286444d79861bbf89f43affe,,,Rivited Church,,,Religious Organizations,Religious Organizations,813110.0,36.368191,-96.001502,101 Rogers Blvd,Skiatook,OK,74070,US,19187984481.0,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""18:30"", ""19:30""]], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [[""10:00"", ""12:00""]] }",,,,,2019-07
185993,186205,222-222@5r8-g2x-dn5,sg:06cdf86d16574273a3b4f7a79fe49f67,,,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,McDonald's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.369073,-96.009821,610 W Rogers Blvd,Skiatook,OK,74070,US,19183969496.0,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-09,2019-07
187619,187833,223-223@5r8-dnf-5j9,sg:66fca662af8c4fcbbe82c6db604264e8,,,Moore's Hardware,,,Building Material and Supplies Dealers,Hardware Stores,444130.0,36.662415,-96.333909,422 E Main St,Pawhuska,OK,74056,US,19182874458.0,,,,2020-01,,2019-07
193911,194135,222-223@5r8-dnf-6kz,sg:fa41795adb244d67a7adb3c97cd27efb,,,Shoppers Value Foods,SG_BRAND_f802e5b700ec6e8d,Shoppers Value Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.662943,-96.336836,236 E Main St,Pawhuska,OK,74056,US,,,,,,2020-03,2020-03
201245,201475,zzw-225@5r8-f27-t7q,sg:c97ba32edcaa471aa479e857fa855a7e,,,Oklahoma Spine and Brain Institute,,,Specialty (except Psychiatric and Substance Abuse) Hospitals,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310.0,36.755554,-95.939186,Physicians Park Plaz,Bartlesville,OK,74003,US,,,,,,,2019-07
204932,205169,zzw-222@5r8-dy3-qfz,sg:b46961d71454483c86448cb1a0f61941,,,The Big Belly Club,,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410.0,36.754540000000006,-95.961526,1333 E Tuxedo Blvd,Bartlesville,OK,74003,US,19183380116.0,,"Bar or Pub,Late Night",,2020-01,,2019-07
223926,224185,zzw-222@5r8-drt-dsq,sg:6687486848934ac8b67ce701e44a116a,,,Stumpff Chapel,,,Religious Organizations,Religious Organizations,813110.0,36.562951,-96.164192,714 W Main,Barnsdall,OK,74002,US,19188472771.0,,,,,,2019-07
249767,250060,zzy-222@5r8-ht8-rp9,sg:cf02e84510614ae98a6f20ba86d59ea0,,,Baptist Church Wynona,,,Religious Organizations,Religious Organizations,813110.0,36.545828,-96.326556,507 Antwine Ave,Wynona,OK,74084,US,19188462272.0,,,,,,2019-07
251657,251950,223-222@5r8-g2x-g6k,sg:46369f54695b4f33968c0b2af2c9db6a,,,Dollar Tree,SG_BRAND_6b1e006c89aa3f8b054a05fa90581501,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,36.367319,-96.014134,814 W Rogers Blvd,Skiatook,OK,74070,US,19185788010.0,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [] }",,,,,
256849,257148,zzy-222@5r8-dnf-8y9,sg:9adcad4ffb3c44e3aba969b1a5c31f26,229-222@5r8-dnf-8y9,sg:35ed7807f57b4685b8e3fa1a143d2db9,Buckcreek Rural Fire Department,,,"Justice, Public Order, and Safety Activities",Fire Protection,922160.0,36.667798,-96.337242,4017 County Road 4301,Pawhuska,OK,74056,US,19185662260.0,,,,,,2019-07
261260,261561,zzy-222@5r8-dxy-94v,sg:b40d9abfba6f4fe099781504caf5e761,,,Jessie Creek Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,36.71413,-95.998675,Jessie Creek Cemetery,Bartlesville,OK,74003,US,,,,,,,2019-07
267224,267535,zzy-228@5r8-drv-8vz,sg:2da0bae2954f4893a762b78faacccf3e,,,Bigheart Grocery Store,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.561644,-96.162122,511 W Main St,Barnsdall,OK,74002,US,19188472823.0,,,,2020-01,,2019-07
268339,268651,223-223@5r8-dnf-tn5,sg:71704ba7b6b94608bcd1d5d5baba57ce,,,Dollar General,SG_BRAND_a4efb9d8ddf0f71207d49f713c5bc1e9,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,36.667385,-96.316499,1820 E Main St,Pawhuska,OK,74056,US,,,,,,2020-05,2019-07
269041,269353,222-222@5r8-dxs-yn5,sg:9f4fd7e0e4564ec49373b95ebcb60e57,,,Platinum Cigar Company,,,Other Miscellaneous Store Retailers,Tobacco Stores,453991.0,36.750592,-95.977175,314 S Johnstone Ave,Bartlesville,OK,74003,US,19183973099.0,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""22:00""]], ""Wed"": [[""11:00"", ""22:00""]], ""Thu"": [[""11:00"", ""22:00""]], ""Fri"": [[""11:00"", ""24:00""]], ""Sat"": [[""11:00"", ""24:00""]], ""Sun"": [] }",,,,,2019-07
269552,269864,zzw-223@5r8-g32-vzz,sg:c0266c554fd145b29c72d379f6d84835,,,Mac's Barbeque,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.368947,-96.015988,1030 W Rogers Blvd,Skiatook,OK,74070,US,19183964165.0,,BBQ and Southern Food,,,,2019-07
276695,277014,223-223@5r8-dy3-3yv,sg:86d6df62cb194454994776b6ec380705,,,Jay's Automotive,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,36.751581,-95.975112,215 E 2nd St,Bartlesville,OK,74003,US,19183333700.0,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
292290,292621,224-222@5r8-dy5-2zf,sg:5cc8c76aa9ef4ea9a9b7b71bfd59909e,,,A C & E Service,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,36.753114,-95.998258,1745 W Hensley Blvd,Bartlesville,OK,74003,US,19183379141.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
297679,298016,zzw-223@5r8-g3v-2tv,sg:b86a1af73d1445dc9bec5f2477ae2de2,,,Suzuki,SG_BRAND_101186a9a44bc0354ed997696a6aefba,Suzuki,Other Motor Vehicle Dealers,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",441228.0,36.366453,-96.05312,14626 N 56th West Ave,Skiatook,OK,74070,US,,,,,,,
299646,299985,229-222@5r8-hsm-rzf,sg:347e8f36dc3241339b738f3d0a5bdbc1,,,Sonic,SG_BRAND_bb5459bf19132d4dc1340654c17331df,Sonic,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.414721,-96.388673,515 E 1st St,Hominy,OK,74035,US,19188852966.0,,"Ice Cream Shop,Lunch,Fast Food,Drive Through,Breakfast,Take Out and Delivery Only,Dessert,Dinner,Burgers",,,,2019-07
318716,319070,zzw-223@5r8-g2x-28v,sg:ee61b2510a194e8bac21f1b36c150d9a,,,Skiatook Library,,,Other Information Services,Libraries and Archives,519120.0,36.368197,-95.998107,316 E Rosgers,Skiatook,OK,74070,US,19185497676.0,"{ ""Mon"": [[""12:00"", ""20:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""11:00"", ""17:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [] }",,,,,2019-07
334861,335226,222-222@5r8-g2z-hwk,sg:ea542a5cad9849d88c9289914a09776e,,,Doughnut King,,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,36.368978000000006,-95.992845,715 E Rogers Blvd,Skiatook,OK,74070,US,19183963600.0,"{ ""Mon"": [[""5:00"", ""11:00""]], ""Tue"": [], ""Wed"": [[""5:00"", ""11:00""]], ""Thu"": [[""5:00"", ""11:00""]], ""Fri"": [[""5:00"", ""11:00""]], ""Sat"": [[""5:00"", ""12:00""]], ""Sun"": [[""5:00"", ""12:00""]] }",,,,,2019-07
335076,335441,223-222@5r8-dxt-bzf,sg:f8a00e0156614c109d39c8b02f33f5d5,,,Top Flight Athletics,,,Other Schools and Instruction,Sports and Recreation Instruction,611620.0,36.748749,-95.989168,522 S Virginia Ave,Bartlesville,OK,74003,US,19188762099.0,"{ ""Mon"": [[""4:00"", ""20:00""]], ""Tue"": [[""4:00"", ""20:00""]], ""Wed"": [[""4:00"", ""20:00""]], ""Thu"": [[""4:00"", ""20:00""]], ""Fri"": [[""4:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [] }",,,,,2019-07
340499,340872,222-222@5r8-dxs-vfz,sg:4f7d1d19305c4367832f6237e3d265bb,,,Conoco Phillips Company,,,Spectator Sports,Sports Teams and Clubs,711211.0,36.748493,-95.979959,511 S Keeler Ave,Bartlesville,OK,74003,US,19186615617.0,,,,,,2019-07
366255,366658,zzz-222@5r8-fmr-t35,sg:ab0695dcdcc5420bae5084e88034c11b,,,Skiatook Sports Complex,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940.0,36.33925,-96.024632,23rd St,Skiatook,OK,74070,US,,,,,,,2019-07
369005,369412,224-222@5r8-hsm-hkf,sg:5907e79816a84709a32f1ca24bd21cb7,,,H&R Block,SG_BRAND_c19468cebc69ba51b37529f1fdd814f7,H&R Block,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213.0,36.415271,-96.392282,208 E Main St,Hominy,OK,74035,US,19188852213.0,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [] }",,,,,2019-07
381921,382341,22j-222@5r8-dy2-xwk,sg:8dcfb14aea354ceea98087e2a1df1fee,,,Fabric Notions,,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130.0,36.749948,-95.969366,605 E 3rd St,Bartlesville,OK,74003,US,19188600952.0,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",,,,,2019-07
383943,384365,zzy-222@5r8-drv-8vz,sg:0c4767d9f2d146c58f0c57fef013b575,,,Robinowitz Oil,,,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,36.561618,-96.162073,419 W Main St,Barnsdall,OK,74002,US,19188472403.0,,,,,,2019-07
384074,384496,zzw-222@5r8-dy4-zj9,sg:14f7b01ec2484bfe8afc5db92047e376,,,Pentecostal Tabernacle Church Of Bartlesville,,,Religious Organizations,Religious Organizations,813110.0,36.757352,-95.998114,1822 NW Lupa St,Bartlesville,OK,74003,US,,,,,,,2019-07
387244,387674,224-222@5r8-dy2-q4v,sg:e1d70ff7fbe04b58aa1541ddecc13e9e,,,Shady's Tint Shop,,,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122.0,36.74993,-95.962564,218 S Comanche Ave,Bartlesville,OK,74003,US,19183271538.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [[""8:00"", ""12:00""]], ""Sun"": [] }",,,,,2019-07
396322,396761,zzw-222@5r8-dy2-xqz,sg:2156cf9154a04870bf9df88b5bafccef,,,Edward Jones,SG_BRAND_ce49fd2da39027552888496287fa81a5,Edward Jones,Other Financial Investment Activities,Miscellaneous Financial Investment Activities,523999.0,36.748315000000005,-95.972741,418 E 5th St,Bartlesville,OK,74003,US,19183372712.0,,,,,,
406882,407331,226-222@5r8-g2x-fxq,sg:cf4936ee013f45c78c23c5bf0ce1cbf2,,,Ascension Church,,,Religious Organizations,Religious Organizations,813110.0,36.368209,-96.012581,741 W Rogers Blvd,Skiatook,OK,74070,US,19183964930.0,,,,,,2019-07
407512,407962,222-222@5r8-g33-cyv,sg:f97b1e46bc6b4cb8b8e394a337523a7c,zzw-222@5r8-g33-f4v,sg:5f7464c95f16402d983be7af2a2793fa,Skydive Airtight,,,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,713990.0,36.354323,-96.012312,1651 S Lombard Ln,Skiatook,OK,74070,US,19183967855.0,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",,,,,2019-07
418694,419153,zzy-222@5r8-ht8-qxq,sg:c554e9ec5f604f54bb8b5608ae5df50d,,,Valero Energy,SG_BRAND_efcbcd9984a46b4d7bed503b4ac5bc95,Valero Energy,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,36.54641,-96.327247,109 W Osage,Wynona,OK,74084,US,,,,,,2021-02,2019-07
422454,422918,zzy-222@5r8-g5b-5pv,sg:b4d5beb3cf9146d8bf90f77c9f4866e8,,,Evangelical Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,36.490387,-96.061125,3rd & Creek,Avant,OK,74003,US,19183369564.0,,,,,,2019-07
426030,426496,22k-222@5r8-dy3-3nq,sg:985b5ccff718461da1f0dee38bfcb0fc,,,Indulge Salon & Day Spa,,,Personal Care Services,Beauty Salons,812112.0,36.75071,-95.975199,219 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19188761250.0,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",,,,,2019-07
427475,427942,22d-222@5r8-dy2-q2k,sg:f7874905db5b4962be2d4af31de5a57c,,,Regional Finance,SG_BRAND_e651ef829b02536122f02e77537d18fa,Regional Finance,Nondepository Credit Intermediation,Consumer Lending,522291.0,36.750519,-95.962982,1231 SE Frank Phillips Blvd Ste B,Bartlesville,OK,74003,US,19182134178.0,,,,,2020-07,2020-07
439944,440430,zzw-222@5r8-drt-dgk,sg:17569e7e008746dda29be18c0f8986da,,,Barnsdall Church Of The Nazarene,,,Religious Organizations,Religious Organizations,813110.0,36.562023,-96.165251,716 W Main,Barnsdall,OK,74002,US,,,,,,,2019-07
442286,442776,zzy-222@5r8-g2z-tn5,sg:aedc6f972d214190807eb920e16297af,,,Osage Gardens Cemetery,,,Death Care Services,Cemeteries and Crematories,812220.0,36.367589,-96.030005,Osage Gardens Cemetery,Skiatook,OK,74070,US,,,,,,,2019-07
453742,454243,227-222@5r8-dxt-ct9,sg:8af74a1c63844354ae27bb884e7d18af,,,Agape Mission Of Bartlesville,,,Religious Organizations,Religious Organizations,813110.0,36.750902,-95.994252,309 S Bucy Ave,Bartlesville,OK,74003,US,,,,,,,2019-07
473504,474020,zzy-222@5r8-f28-fpv,sg:82989b7bd1a6495d8728b096d702fbe4,zzw-228@5r8-f28-fpv,sg:abee41cadbd840068c95a4b1463becbb,Eastland Nails,,,Personal Care Services,Nail Salons,812113.0,36.749488,-95.934399,Eastland Shopping Ce,Bartlesville,OK,74003,US,,,,,,,2019-07
479083,479611,22d-222@5r8-dy3-3nq,sg:e7c6b374d975400aa96637e8d23a37be,,,Schluter Chiropractic & Acupuncture,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,36.751235,-95.97524,212 SE Frank Phillips Blvd,Bartlesville,OK,74003,US,19183351555.0,"{ ""Mon"": [[""9:00"", ""17:30""]], ""Tue"": [[""9:00"", ""17:30""]], ""Wed"": [[""9:00"", ""17:30""]], ""Thu"": [[""9:00"", ""17:30""]], ""Fri"": [[""9:00"", ""13:00""]], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
484240,484773,zzw-222@5r8-dnf-vzz,sg:2dc76f03ae22453098be9fcf80d6b54c,,,Pawhuska Jhs,,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,36.673955,-96.331334,615 E 15th St,Pawhuska,OK,74056,US,19182871264.0,,,,,,2019-07
504755,505305,226-222@5r8-dks-8d9,sg:49d0358a34bb4804b6828ef38746c69c,,,Monger Bros Auto Supply,,,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310.0,36.664027,-96.34313,301 W Main St,Pawhuska,OK,74056,US,19182874158.0,,,,2020-01,,2019-07
506221,506774,22b-222@5r8-dxt-b6k,sg:a717dc14a77440ff87e380e691702f37,,,Tuesday House Thrift Shop,,,Used Merchandise Stores,Used Merchandise Stores,453310.0,36.750828000000006,-95.990915,321 S Penn Ave,Bartlesville,OK,74003,US,19183369154.0,"{ ""Mon"": [], ""Tue"": [[""8:00"", ""16:00""]], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",,,,,2019-07
517101,517665,zzw-222@5r8-drt-kxq,sg:613ff61805574e31a7c7c0c8470d4cad,,,Kelley's Trucks and More,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,36.557218,-96.160001,316 W Spruce,Barnsdall,OK,74002,US,19186972741.0,,,,,,2019-07
530888,531466,22d-222@5r8-g34-5mk,sg:d66ac4e555f54500afb830d003843d53,,,Assembly of God Church Parsonage,,,Religious Organizations,Religious Organizations,813110.0,36.358053000000005,-96.002642,24 W Chestnut St,Skiatook,OK,74070,US,19183961075.0,,,,2020-02,,2019-07
535059,535642,22d-222@5r8-dy2-q75,sg:ddaeb0bf9b5b4a51babe3e48c5a204e6,,,Rainbow Kiddie Academy Inc,,,Child Day Care Services,Child Day Care Services,624410.0,36.751473,-95.964786,112 S Creek Ave,Bartlesville,OK,74003,US,19183367934.0,,,,,,2019-07
536676,537262,zzy-222@5r8-drt-b49,sg:42516d204ec64881b6e3899d8fd0efd2,,,Uptown Pizza,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.561626,-96.165414,721 W Main St,Barnsdall,OK,74002,US,19188473711.0,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [] }",Pizza,,,,2019-07
548907,549506,zzw-222@5r8-g32-snq,sg:53c570e0e4c84f1891a9e471c311a085,,,Shanghai Express,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,36.368504,-96.016639,1355 W Rogers Blvd,Skiatook,OK,74070,US,19183969288.0,,Chinese Food,,,,2019-07
556914,557521,227-222@5r8-g32-4sq,sg:543fc1ba7afa4f1d941eeb4a83a32368,,,Idle Time Creations,,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores",451130.0,36.365044,-96.022545,509 S Creek St,Skiatook,OK,74070,US,19188591046.0,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""8:00"", ""20:00""]] }",,,,,2019-07
559893,560504,226-222@5r8-hsm-hqz,sg:1602f16f9bb74a02a3a91ce575ae0176,,,Woolery D R,,,Health and Personal Care Stores,Optical Goods Stores,446130.0,36.414916,-96.392992,117 S Wood Ave,Hominy,OK,74035,US,19188852177.0,,,,,,2019-07
566405,567025,223-222@5r8-g2x-3bk,sg:b3a15d54ab4f47258cf57b06d3501a2a,,,Maveric Mini Mart,,,Grocery Stores,Convenience Stores,445120.0,36.368149,-95.996001,502 E Rogers Blvd,Skiatook,OK,74070,US,19183962393.0,,,,2020-01,,2019-07
570720,571344,zzw-224@5r8-dxz-brk,sg:cf93f2695533475cb2f9053ccc6a6db4,,,State Farm,SG_BRAND_1eeccf353a7dd8a1ad3b37c746fc6d82,State Farm,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,36.751717,-95.978433,124 SW Frank Phillips Blvd,Bartlesville,OK,74003,US,19183363333.0,,,,,,
583423,584058,229-222@5r8-hsm-hnq,sg:f6f342bcc767463f9b59acdcb889f267,,,Bayouth Agency,,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210.0,36.415875,-96.39444,107 W Main St,Hominy,OK,74035,US,19188852119.0,,,,,,2019-07
